Nome,Sexo,Idade,Profissao,Salario,EC
Amanda,F,,Engenheiro de Petróleo,10655.26,Viúvo
Lucas,F,31.0,Farmacêutico,,Divorciado
Pedro,F,61.0,Engenheiro,,Divorciado
Carlos,M,,Diretor (CTO),7846.66,Viúvo
Guilherme,F,,Gerente,5663.65,Viúvo
Mariana,M,,Programador,5889.31,Viúvo
Amanda,M,58.0,Piloto,,Viúvo
Fatima,F,,Farmacêutico,9338.03,Casado
Felipe,M,41.0,Gerente de Vendas,,Viúvo
Luciana,M,41.0,Médico,,Casado
Mariana,M,25.0,Gerente,,Viúvo
Jose,M,,Gerente,12084.16,Viúvo
Bruno,M,,Programador,15633.65,Casado
Matheus,M,53.0,Gerente de Vendas,,Casado
Paulo,M,,Dentista,10329.94,Solteiro
Camila,F,53.0,Gerente,,Divorciado
Gabriel,F,,Gerente,22710.21,Viúvo
Larissa,M,23.0,Cientista de Dados,,Casado
Juliana,F,63.0,Gerente,,Viúvo
Marcelo,F,,Gerente,10543.15,Divorciado
Francisco,F,,Gerente de TI,9412.69,Casado
Bruna,M,32.0,Farmacêutico,,Viúvo
Diego,F,,Farmacêutico,19352.67,Casado
Claudia,M,61.0,Arquiteto,,Viúvo
Bruno,M,37.0,Cientista de Dados,,Divorciado
Carlos,F,,Gerente,7854.79,Solteiro
Fernando,M,24.0,Arquiteto,,Solteiro
Ana,F,62.0,Cientista de Dados,,Casado
Paulo,M,,Programador,12212.05,Viúvo
Guilherme,M,,Veterinário,9806.19,Divorciado
Maria,M,,Médico,5762.85,Solteiro
Anderson,F,,Dentista,6871.58,Viúvo
Patricia,F,,Diretor (CTO),18575.32,Solteiro
Antonio,M,,Dentista,21006.47,Casado
Leandro,M,21.0,Consultor,,Viúvo
Patricia,F,26.0,Programador,,Divorciado
João,M,,Engenheiro de Petróleo,18043.86,Solteiro
Marcia,M,63.0,Gerente de Vendas,,Viúvo
Thiago,M,,Cientista de Dados,18974.33,Divorciado
Daniel,F,31.0,Gerente,,Solteiro
Aline,F,,Gerente de TI,4771.34,Casado
Bruno,M,,Gerente,18565.4,Solteiro
Amanda,M,23.0,Diretor (CTO),,Casado
Thiago,F,,Gerente,8138.48,Viúvo
Renata,M,44.0,Diretor (CTO),,Solteiro
Gabriela,F,,Gerente de Vendas,12718.8,Viúvo
Luana,M,37.0,Arquiteto,,Divorciado
Lucas,M,,Cientista de Dados,14998.64,Divorciado
Ricardo,M,,Gerente de Vendas,11788.29,Solteiro
Luciana,M,61.0,Veterinário,,Viúvo
Beatriz,F,,Dentista,8658.91,Viúvo
Camila,M,,Consultor,7284.3,Divorciado
Maria,M,58.0,Veterinário,,Casado
Jessica,F,,Arquiteto,16103.77,Divorciado
Bruno,M,,Farmacêutico,16037.91,Viúvo
Leonardo,F,,Gerente,5693.18,Casado
Leonardo,F,40.0,Programador,,Casado
Joao,M,,Diretor Executivo (CEO),13505.66,Divorciado
Francisco,F,36.0,Gerente de TI,,Casado
Claudia,F,,Piloto,3046.12,Casado
Carlos,F,,Piloto,17297.84,Solteiro
Pedro,M,,Diretor (CTO),21438.28,Solteiro
Adriana,F,62.0,Engenheiro de Petróleo,,Solteiro
Gabriel,F,,Advogado,12357.81,Casado
Lucas,M,,Programador,19653.57,Divorciado
Ana,M,27.0,Médico,,Casado
Francisco,M,57.0,Diretor Executivo (CEO),,Casado
Ricardo,F,,Gerente,7914.91,Divorciado
Daniel,F,25.0,Programador,,Casado
Larissa,M,45.0,Gerente de TI,,Viúvo
Daniel,M,41.0,Gerente,,Casado
Jessica,M,,Programador,9009.76,Divorciado
Jessica,F,,Diretor Executivo (CEO),13644.54,Divorciado
Diego,F,,Analista de Sistemas,6718.88,Solteiro
Larissa,F,55.0,Gerente,,Divorciado
Thiago,F,,Gerente de TI,13802.21,Divorciado
Claudia,F,44.0,Gerente,,Solteiro
Raquel,F,,Veterinário,21830.45,Viúvo
Guilherme,F,50.0,Engenheiro,,Divorciado
Raquel,F,34.0,Analista de Sistemas,,Viúvo
Francisco,M,,Gerente de TI,17020.56,Viúvo
Mariana,M,,Cientista de Dados,10175.74,Divorciado
João,M,22.0,Diretor (CTO),,Solteiro
Luana,M,61.0,Diretor (CTO),,Casado
Luana,F,,Gerente de TI,13658.38,Solteiro
Jose,F,22.0,Gerente de Vendas,,Viúvo
Claudia,M,,Dentista,20305.76,Divorciado
Vanessa,M,,Médico,9006.44,Divorciado
Ana Paula,M,19.0,Diretor Executivo (CEO),,Casado
Leonardo,M,,Consultor,6859.1,Casado
Bruna,F,,Diretor (CTO),9526.52,Viúvo
Francisco,F,,Engenheiro de Petróleo,6095.62,Casado
Mariana,F,54.0,Gerente de TI,,Solteiro
Leonardo,F,,Arquiteto,14098.19,Viúvo
Marcelo,F,,Advogado,12738.5,Solteiro
Fabiana,F,,Farmacêutico,7514.67,Solteiro
Ana,M,,Dentista,11427.11,Divorciado
Eliane,M,,Piloto,22270.38,Casado
Sandra,F,21.0,Gerente de Vendas,,Viúvo
Thiago,F,,Médico,3918.93,Divorciado
Fernanda,F,29.0,Diretor (CTO),,Solteiro
Raquel,F,,Engenheiro,14927.99,Viúvo
Adriana,M,,Analista de Sistemas,18451.17,Viúvo
Marcos,M,,Diretor (CTO),22969.5,Casado
Fernanda,F,,Farmacêutico,13264.11,Divorciado
Pedro,F,,Cientista de Dados,3283.26,Solteiro
Francisco,F,59.0,Gerente de TI,,Solteiro
Jessica,F,43.0,Cientista de Dados,,Viúvo
Fatima,F,,Engenheiro,18804.71,Viúvo
Vanessa,M,,Piloto,21385.52,Solteiro
Leandro,F,,Gerente de TI,7492.6,Viúvo
Sandra,M,,Veterinário,16441.42,Divorciado
Marcia,F,28.0,Diretor Executivo (CEO),,Casado
Fabiana,F,,Gerente,18649.21,Solteiro
Vanessa,M,41.0,Farmacêutico,,Divorciado
Gustavo,F,,Arquiteto,8131.06,Viúvo
Bruno,F,,Dentista,9008.23,Casado
Luiz,F,55.0,Dentista,,Viúvo
Ana Paula,M,,Diretor (CTO),10097.73,Divorciado
Sandra,F,,Diretor (CTO),14642.55,Divorciado
Guilherme,M,,Gerente,15705.94,Viúvo
Maria,M,,Dentista,15361.77,Divorciado
Antonio,M,43.0,Gerente,,Solteiro
Juliana,F,58.0,Gerente de TI,,Solteiro
Mariana,M,,Veterinário,7816.23,Divorciado
Eduardo,F,62.0,Farmacêutico,,Casado
Leandro,M,54.0,Gerente,,Casado
Francisca,F,22.0,Engenheiro de Petróleo,,Solteiro
Ana Paula,F,32.0,Cientista de Dados,,Viúvo
Matheus,M,37.0,Cientista de Dados,,Divorciado
Paulo,F,,Diretor (CTO),5912.5,Divorciado
Ricardo,F,28.0,Gerente de TI,,Viúvo
Luiz,M,,Programador,14404.59,Viúvo
Antonio,F,,Analista de Sistemas,10868.33,Viúvo
Francisco,F,,Gerente de TI,22904.95,Solteiro
Fatima,M,52.0,Engenheiro,,Viúvo
Fabiana,F,44.0,Gerente de Vendas,,Viúvo
Gabriela,F,,Programador,14447.2,Divorciado
Carlos,F,20.0,Consultor,,Divorciado
Felipe,F,,Advogado,9592.98,Solteiro
Juliana,F,19.0,Gerente,,Divorciado
Luana,F,56.0,Diretor Executivo (CEO),,Divorciado
Gabriel,M,,Diretor (CTO),19052.56,Casado
Ana,M,20.0,Diretor Executivo (CEO),,Viúvo
Daniel,M,45.0,Engenheiro de Petróleo,,Casado
Fernanda,M,63.0,Médico,,Divorciado
Eduardo,F,35.0,Analista de Sistemas,,Casado
Carlos,F,,Diretor Executivo (CEO),17015.8,Divorciado
Luciana,M,,Consultor,15263.99,Solteiro
Juliana,M,,Piloto,18886.86,Casado
Ana,F,53.0,Advogado,,Solteiro
Jessica,M,37.0,Analista de Sistemas,,Casado
Fatima,M,,Dentista,18558.48,Casado
Marcos,M,29.0,Gerente,,Divorciado
Fabiana,F,40.0,Gerente,,Viúvo
Carlos,M,,Engenheiro de Petróleo,21854.28,Solteiro
Mariana,M,,Diretor (CTO),7419.9,Solteiro
Mariana,M,,Advogado,20080.18,Divorciado
Gabriel,F,,Gerente,12964.18,Viúvo
Mariana,F,40.0,Diretor Executivo (CEO),,Casado
Juliana,M,61.0,Gerente,,Solteiro
Leonardo,F,21.0,Cientista de Dados,,Viúvo
Fernando,M,,Diretor Executivo (CEO),16841.22,Casado
Claudia,M,,Engenheiro,10303.18,Viúvo
Joao,M,,Advogado,13957.17,Viúvo
Matheus,F,,Gerente de TI,21383.15,Solteiro
Eliane,M,62.0,Analista de Sistemas,,Viúvo
Felipe,M,,Médico,21468.08,Viúvo
Paulo,M,,Gerente de TI,18975.63,Solteiro
José,F,32.0,Farmacêutico,,Viúvo
Fabiana,F,,Cientista de Dados,7555.54,Divorciado
Marcia,M,44.0,Cientista de Dados,,Solteiro
Beatriz,F,28.0,Gerente de Vendas,,Viúvo
Bruno,F,37.0,Médico,,Casado
Sandra,F,,Médico,3134.98,Viúvo
Fabiana,M,,Dentista,17316.32,Divorciado
Eliane,F,31.0,Gerente,,Viúvo
Carla,M,,Diretor Executivo (CEO),6782.54,Solteiro
Fatima,M,,Engenheiro de Petróleo,4361.67,Divorciado
Raquel,M,41.0,Analista de Sistemas,,Divorciado
Aline,M,,Diretor (CTO),7453.36,Viúvo
Carlos,M,38.0,Engenheiro,,Viúvo
Luciana,F,,Consultor,8979.97,Casado
Felipe,M,55.0,Gerente de TI,,Viúvo
Marcia,F,,Cientista de Dados,13839.07,Casado
Marcia,M,,Analista de Sistemas,5603.7,Divorciado
Camila,M,27.0,Engenheiro de Petróleo,,Casado
Gabriel,M,,Diretor (CTO),12449.5,Casado
Renata,F,30.0,Diretor (CTO),,Divorciado
Fernando,M,31.0,Gerente de Vendas,,Solteiro
Gustavo,F,,Farmacêutico,5168.0,Solteiro
Joao,M,53.0,Piloto,,Viúvo
Guilherme,M,65.0,Dentista,,Viúvo
Juliana,F,,Farmacêutico,13310.23,Divorciado
Rafael,M,40.0,Advogado,,Viúvo
Claudia,M,,Gerente de TI,21987.61,Viúvo
Bruna,M,35.0,Engenheiro,,Casado
Joao,F,35.0,Consultor,,Solteiro
Sandra,M,50.0,Cientista de Dados,,Viúvo
Jose,F,,Veterinário,19464.49,Viúvo
Gabriel,M,,Diretor (CTO),3850.86,Divorciado
Francisco,F,,Diretor (CTO),17942.08,Viúvo
Leonardo,F,57.0,Engenheiro de Petróleo,,Viúvo
Pedro,F,64.0,Engenheiro,,Casado
Eduardo,F,26.0,Cientista de Dados,,Solteiro
Eliane,F,,Médico,7561.69,Viúvo
Guilherme,F,56.0,Veterinário,,Solteiro
Carla,M,,Gerente,6350.11,Casado
Marcelo,F,22.0,Consultor,,Solteiro
Bruna,F,,Analista de Sistemas,8250.99,Viúvo
José,F,,Médico,19652.99,Solteiro
Eduardo,F,,Veterinário,12588.74,Casado
Guilherme,M,20.0,Arquiteto,,Divorciado
Luciana,M,63.0,Veterinário,,Casado
Paulo,F,,Gerente,19100.2,Viúvo
Luiz,F,39.0,Gerente de TI,,Divorciado
Beatriz,F,44.0,Consultor,,Solteiro
Ana Paula,M,,Advogado,20528.39,Divorciado
Amanda,M,28.0,Analista de Sistemas,,Casado
Lucas,M,,Engenheiro,14704.25,Divorciado
Luiz,M,,Engenheiro de Petróleo,4672.22,Casado
Marcos,F,,Engenheiro,4136.14,Solteiro
Carlos,F,25.0,Arquiteto,,Viúvo
Fernanda,M,,Consultor,9163.48,Casado
Camila,M,34.0,Programador,,Casado
Rafael,F,34.0,Programador,,Viúvo
Fatima,F,24.0,Consultor,,Solteiro
Raquel,M,58.0,Consultor,,Viúvo
Marcelo,M,23.0,Diretor Executivo (CEO),,Casado
Leandro,F,,Advogado,7851.74,Casado
Amanda,M,,Engenheiro de Petróleo,22640.61,Divorciado
Anderson,F,,Engenheiro de Petróleo,3681.33,Casado
Leandro,F,,Veterinário,8822.68,Casado
Rodrigo,M,,Gerente,20464.4,Solteiro
Antonio,M,,Dentista,16208.69,Casado
Ana,F,44.0,Diretor (CTO),,Solteiro
Carla,M,44.0,Engenheiro de Petróleo,,Viúvo
Beatriz,F,54.0,Gerente,,Solteiro
Maria,M,62.0,Farmacêutico,,Solteiro
Luiz,M,60.0,Médico,,Solteiro
Larissa,M,57.0,Gerente,,Viúvo
João,M,64.0,Gerente,,Divorciado
Ricardo,F,,Advogado,8106.05,Solteiro
Jessica,F,,Farmacêutico,11155.9,Casado
Felipe,F,30.0,Advogado,,Viúvo
Francisco,M,42.0,Piloto,,Viúvo
Renata,M,,Engenheiro,22415.22,Divorciado
Eliane,F,,Cientista de Dados,14766.46,Divorciado
Lucas,F,,Diretor (CTO),16438.25,Viúvo
Beatriz,F,33.0,Piloto,,Viúvo
Francisco,F,26.0,Médico,,Solteiro
Joao,F,,Gerente,22118.49,Viúvo
Francisco,M,,Programador,22769.25,Divorciado
Anderson,M,,Programador,19957.16,Divorciado
Luiz,F,52.0,Engenheiro de Petróleo,,Solteiro
Sandra,F,,Médico,5491.1,Divorciado
Diego,M,62.0,Piloto,,Casado
Rodrigo,F,,Piloto,11533.03,Divorciado
Luiz,M,,Veterinário,11657.34,Viúvo
Juliana,F,,Analista de Sistemas,19237.37,Casado
Marcelo,M,,Diretor (CTO),16800.1,Casado
Beatriz,M,20.0,Cientista de Dados,,Viúvo
José,M,38.0,Gerente de TI,,Viúvo
José,M,,Analista de Sistemas,10565.33,Solteiro
Juliana,F,41.0,Diretor Executivo (CEO),,Casado
Eliane,M,51.0,Programador,,Casado
Matheus,F,37.0,Advogado,,Viúvo
Francisca,M,44.0,Cientista de Dados,,Divorciado
Jessica,F,,Advogado,19367.02,Casado
Marcelo,F,,Gerente de TI,5889.92,Divorciado
Eduardo,M,,Cientista de Dados,14599.23,Solteiro
Mariana,F,33.0,Arquiteto,,Divorciado
Gabriel,M,,Engenheiro de Petróleo,15877.34,Divorciado
Fernando,F,,Médico,3657.35,Viúvo
Gabriela,M,,Analista de Sistemas,22145.03,Divorciado
Francisca,F,49.0,Veterinário,,Viúvo
Luiz,F,,Dentista,22204.2,Solteiro
Guilherme,M,,Médico,3447.45,Divorciado
Beatriz,F,23.0,Consultor,,Solteiro
José,M,26.0,Engenheiro de Petróleo,,Solteiro
Guilherme,M,26.0,Consultor,,Casado
Raquel,F,,Gerente,14851.41,Viúvo
Thiago,M,59.0,Gerente de Vendas,,Solteiro
Matheus,M,36.0,Programador,,Solteiro
Rodrigo,M,,Cientista de Dados,10998.7,Viúvo
Antonio,F,,Farmacêutico,7864.67,Viúvo
Felipe,F,37.0,Advogado,,Casado
Joao,M,,Piloto,22517.18,Solteiro
Gabriela,M,36.0,Médico,,Solteiro
Jose,F,45.0,Gerente,,Casado
Sandra,F,48.0,Engenheiro de Petróleo,,Viúvo
Carla,M,,Gerente,17769.65,Solteiro
Vanessa,F,,Consultor,10715.94,Solteiro
Bruna,F,53.0,Piloto,,Viúvo
Carla,F,,Gerente de TI,19318.24,Viúvo
Francisca,M,51.0,Gerente de TI,,Casado
Thiago,M,19.0,Consultor,,Divorciado
Maria,M,45.0,Consultor,,Solteiro
Rodrigo,M,,Veterinário,21768.85,Viúvo
João,M,20.0,Gerente de TI,,Divorciado
Larissa,M,,Cientista de Dados,14384.38,Viúvo
Pedro,M,20.0,Gerente de Vendas,,Solteiro
Gabriel,M,,Diretor Executivo (CEO),14702.96,Divorciado
Fabiana,M,,Gerente,16624.75,Solteiro
Thiago,F,,Veterinário,22105.48,Solteiro
Guilherme,M,23.0,Consultor,,Viúvo
Aline,F,,Advogado,7409.3,Divorciado
Matheus,M,48.0,Cientista de Dados,,Casado
Francisca,M,26.0,Diretor Executivo (CEO),,Viúvo
Bruno,F,,Cientista de Dados,17890.65,Solteiro
Carlos,F,21.0,Veterinário,,Viúvo
Francisco,M,,Médico,21383.89,Casado
Bruno,F,61.0,Farmacêutico,,Divorciado
Fabiana,M,40.0,Arquiteto,,Viúvo
Patricia,M,31.0,Gerente,,Divorciado
Bruno,F,45.0,Engenheiro de Petróleo,,Viúvo
Antonio,F,18.0,Programador,,Viúvo
Claudia,F,,Veterinário,18345.41,Solteiro
Sandra,M,,Consultor,4687.59,Divorciado
Matheus,F,,Advogado,7145.0,Solteiro
Jose,M,,Farmacêutico,13806.14,Divorciado
Claudia,F,35.0,Farmacêutico,,Viúvo
Fabiana,M,20.0,Gerente,,Divorciado
Luciana,F,31.0,Gerente de TI,,Solteiro
Jose,F,,Diretor (CTO),21284.77,Viúvo
Luiz,M,,Médico,12670.48,Viúvo
Paulo,M,,Gerente,18969.38,Solteiro
Amanda,M,61.0,Arquiteto,,Viúvo
Rodrigo,M,61.0,Engenheiro,,Casado
Renata,M,,Analista de Sistemas,8294.96,Casado
Diego,F,,Gerente,17982.25,Casado
Gustavo,M,,Dentista,3016.48,Divorciado
Renata,M,29.0,Programador,,Viúvo
Gabriela,M,23.0,Analista de Sistemas,,Viúvo
Bruno,M,47.0,Dentista,,Solteiro
Fernanda,M,,Veterinário,18463.64,Casado
Gustavo,M,,Engenheiro,3140.74,Casado
Gustavo,F,60.0,Consultor,,Solteiro
Joao,F,,Piloto,5893.54,Casado
Daniel,F,50.0,Engenheiro de Petróleo,,Divorciado
Jessica,F,,Consultor,9352.73,Viúvo
Bruna,F,,Arquiteto,17034.02,Solteiro
Jose,M,,Diretor Executivo (CEO),21297.96,Divorciado
Ana Paula,F,57.0,Advogado,,Divorciado
Paula,F,24.0,Dentista,,Viúvo
Vanessa,M,,Gerente de Vendas,3098.79,Solteiro
Antonio,F,21.0,Diretor Executivo (CEO),,Viúvo
Carla,F,,Dentista,4235.2,Solteiro
Jessica,F,32.0,Programador,,Solteiro
Guilherme,F,,Médico,20143.99,Divorciado
Marcia,F,54.0,Farmacêutico,,Viúvo
Felipe,F,47.0,Consultor,,Divorciado
Leandro,M,34.0,Veterinário,,Casado
Eduardo,M,20.0,Dentista,,Divorciado
Mariana,M,33.0,Dentista,,Casado
Gustavo,F,55.0,Diretor Executivo (CEO),,Casado
Mariana,M,20.0,Gerente,,Divorciado
Carla,F,,Arquiteto,22293.79,Viúvo
Bruna,M,27.0,Gerente,,Viúvo
Claudia,F,,Arquiteto,6434.95,Solteiro
Antonio,M,,Gerente de Vendas,15483.92,Viúvo
Claudia,F,,Engenheiro de Petróleo,7348.14,Viúvo
José,F,,Dentista,16163.2,Solteiro
Carlos,F,27.0,Gerente de TI,,Divorciado
Rodrigo,F,,Consultor,6269.74,Solteiro
Fernando,F,35.0,Piloto,,Viúvo
Leandro,M,62.0,Gerente,,Casado
Sandra,F,28.0,Cientista de Dados,,Divorciado
Felipe,F,,Analista de Sistemas,7581.73,Solteiro
Joao,M,39.0,Piloto,,Solteiro
Joao,M,,Gerente de TI,9315.84,Viúvo
Thiago,M,51.0,Piloto,,Divorciado
Thiago,F,,Consultor,18842.47,Divorciado
Ana Paula,M,,Piloto,22923.29,Solteiro
Claudia,M,,Cientista de Dados,6224.24,Casado
Fabiana,F,,Arquiteto,13884.77,Divorciado
Guilherme,F,,Consultor,14032.02,Solteiro
Vanessa,M,34.0,Veterinário,,Divorciado
Thiago,M,31.0,Arquiteto,,Divorciado
Carla,F,38.0,Diretor (CTO),,Divorciado
Francisco,M,39.0,Gerente,,Divorciado
Daniel,M,31.0,Gerente,,Casado
Bruno,M,,Dentista,3516.5,Viúvo
Carla,M,,Analista de Sistemas,13528.15,Solteiro
Raquel,M,,Engenheiro de Petróleo,19369.8,Divorciado
Matheus,F,22.0,Programador,,Viúvo
Patricia,F,46.0,Gerente de TI,,Solteiro
Luciana,F,55.0,Gerente de TI,,Viúvo
Paulo,F,,Veterinário,20503.39,Solteiro
Fernando,M,40.0,Cientista de Dados,,Divorciado
Daniel,M,42.0,Engenheiro,,Viúvo
Gabriela,M,34.0,Dentista,,Casado
Fatima,M,,Consultor,16087.91,Divorciado
Adriana,F,,Gerente,4873.64,Viúvo
Amanda,M,,Diretor Executivo (CEO),17396.54,Viúvo
Lucas,M,33.0,Piloto,,Solteiro
Larissa,M,,Gerente,7350.53,Casado
Lucas,F,30.0,Gerente de Vendas,,Solteiro
Daniel,M,47.0,Piloto,,Casado
Paula,F,49.0,Consultor,,Divorciado
Gustavo,F,,Engenheiro de Petróleo,22484.86,Divorciado
Eduardo,F,51.0,Gerente de Vendas,,Casado
Aline,F,46.0,Consultor,,Viúvo
Gabriel,F,,Médico,9269.6,Solteiro
Vanessa,M,,Dentista,22821.54,Casado
Rafael,M,37.0,Médico,,Divorciado
Leonardo,F,,Farmacêutico,18967.73,Solteiro
Francisca,F,,Gerente de Vendas,14739.73,Casado
Francisco,M,,Médico,22351.84,Viúvo
Paula,F,,Gerente,17360.55,Viúvo
João,F,,Analista de Sistemas,22695.12,Casado
Claudia,M,,Dentista,4510.59,Casado
Marcia,M,49.0,Gerente,,Solteiro
Juliana,F,53.0,Consultor,,Divorciado
Renata,M,59.0,Diretor (CTO),,Viúvo
Marcia,M,41.0,Gerente de Vendas,,Divorciado
Camila,F,59.0,Cientista de Dados,,Solteiro
Eduardo,M,,Gerente de Vendas,7029.75,Viúvo
Adriana,M,,Diretor (CTO),18694.19,Viúvo
Amanda,F,19.0,Programador,,Solteiro
Luciana,F,55.0,Advogado,,Casado
Sandra,M,52.0,Arquiteto,,Viúvo
Luciana,F,,Farmacêutico,8017.66,Casado
Pedro,F,,Gerente,15034.79,Casado
Camila,F,56.0,Cientista de Dados,,Casado
Carla,M,,Consultor,18201.07,Casado
Claudia,M,30.0,Médico,,Divorciado
Adriana,F,,Arquiteto,12185.4,Solteiro
José,F,45.0,Arquiteto,,Solteiro
Vanessa,M,22.0,Gerente,,Viúvo
Antonio,M,21.0,Diretor Executivo (CEO),,Divorciado
Renata,M,38.0,Analista de Sistemas,,Casado
Paula,M,18.0,Gerente,,Divorciado
Beatriz,M,65.0,Piloto,,Solteiro
Luana,F,,Cientista de Dados,6246.88,Solteiro
Paulo,F,60.0,Cientista de Dados,,Viúvo
Fernanda,F,28.0,Diretor Executivo (CEO),,Divorciado
Ricardo,F,21.0,Arquiteto,,Solteiro
Jessica,M,,Médico,22983.23,Solteiro
Pedro,F,,Farmacêutico,3059.37,Casado
Antonio,M,,Gerente de Vendas,20587.15,Solteiro
Maria,F,56.0,Dentista,,Casado
Leonardo,M,,Analista de Sistemas,3425.14,Viúvo
Aline,F,,Engenheiro,15779.17,Casado
Gustavo,M,47.0,Diretor (CTO),,Casado
Anderson,M,,Médico,13848.08,Divorciado
Juliana,F,38.0,Diretor (CTO),,Viúvo
Gustavo,F,51.0,Farmacêutico,,Casado
Carlos,M,37.0,Programador,,Viúvo
Larissa,F,63.0,Piloto,,Casado
Eliane,F,,Médico,6503.97,Casado
Fernando,M,,Engenheiro,13034.38,Solteiro
Aline,M,,Programador,17943.42,Solteiro
Maria,F,,Gerente,,Solteiro
Marcos,M,41.0,Gerente,,Viúvo
Lucas,F,65.0,Cientista de Dados,,Casado
Matheus,M,34.0,Veterinário,,Viúvo
Juliana,M,52.0,Cientista de Dados,,Viúvo
Eliane,M,,Gerente,12031.88,Divorciado
Renata,M,,Engenheiro,21738.07,Divorciado
Francisco,M,38.0,Diretor Executivo (CEO),,Divorciado
Adriana,F,,Médico,20686.91,Divorciado
Mariana,M,22.0,Engenheiro de Petróleo,,Viúvo
Renata,F,62.0,Engenheiro,,Viúvo
Juliana,F,,Engenheiro,19759.93,Viúvo
Sandra,M,27.0,Gerente de TI,,Divorciado
Francisco,M,,Veterinário,4654.15,Viúvo
Camila,M,,Advogado,3106.5,Divorciado
Lucas,F,34.0,Gerente de TI,,Solteiro
Fernanda,M,,Consultor,10678.44,Viúvo
Francisco,F,59.0,Veterinário,,Viúvo
Diego,M,20.0,Engenheiro,,Divorciado
Amanda,F,,Analista de Sistemas,9116.66,Solteiro
Camila,M,65.0,Gerente,,Viúvo
Thiago,M,,Médico,13740.94,Divorciado
Pedro,M,,Advogado,22246.91,Casado
Eliane,M,22.0,Advogado,,Casado
Luiz,F,,Analista de Sistemas,4225.28,Viúvo
Beatriz,F,,Médico,13975.3,Casado
Larissa,M,,Gerente,4866.57,Casado
Maria,F,,Dentista,11456.91,Viúvo
Carla,F,,Farmacêutico,16785.88,Divorciado
Beatriz,M,,Gerente de TI,15897.54,Divorciado
Luciana,F,,Diretor Executivo (CEO),12806.56,Solteiro
Matheus,M,,Analista de Sistemas,16855.46,Casado
Luana,F,39.0,Gerente de TI,,Viúvo
Anderson,F,58.0,Gerente,,Viúvo
Jose,F,48.0,Engenheiro de Petróleo,,Solteiro
Ana Paula,F,56.0,Cientista de Dados,,Solteiro
Sandra,M,40.0,Médico,,Viúvo
Ana,F,24.0,Consultor,,Solteiro
Fabiana,M,42.0,Gerente de Vendas,,Solteiro
Marcos,F,49.0,Gerente,,Viúvo
Diego,M,,Arquiteto,9549.44,Viúvo
Luciana,M,,Engenheiro de Petróleo,21804.33,Casado
Francisca,M,64.0,Programador,,Viúvo
Bruna,F,43.0,Cientista de Dados,,Divorciado
Patricia,M,,Advogado,16081.24,Viúvo
Adriana,M,,Diretor (CTO),21415.71,Solteiro
Francisco,M,35.0,Gerente,,Solteiro
Patricia,F,,Piloto,3746.16,Divorciado
Marcelo,M,,Diretor Executivo (CEO),9149.98,Solteiro
Guilherme,F,,Gerente,4189.05,Solteiro
Thiago,M,33.0,Gerente de TI,,Viúvo
Ana,M,,Analista de Sistemas,10917.12,Divorciado
Antonio,M,44.0,Diretor Executivo (CEO),,Casado
Luciana,F,43.0,Farmacêutico,,Solteiro
José,F,20.0,Gerente,,Viúvo
Francisco,M,,Engenheiro de Petróleo,16016.29,Solteiro
Larissa,F,20.0,Médico,,Divorciado
Bruno,F,,Gerente,12872.42,Divorciado
Joao,M,,Diretor Executivo (CEO),9491.48,Solteiro
Amanda,F,,Gerente de Vendas,21407.32,Solteiro
Felipe,M,,Engenheiro de Petróleo,8495.07,Viúvo
Amanda,M,46.0,Arquiteto,,Solteiro
Paulo,M,23.0,Veterinário,,Casado
João,F,,Piloto,8658.64,Divorciado
Joao,M,63.0,Cientista de Dados,,Divorciado
Raquel,M,,Diretor (CTO),4839.68,Viúvo
Bruna,F,,Gerente de Vendas,9089.3,Divorciado
Luciana,M,,Analista de Sistemas,21813.06,Casado
Mariana,M,59.0,Diretor Executivo (CEO),,Casado
Larissa,M,,Farmacêutico,9612.75,Divorciado
Renata,F,42.0,Programador,,Viúvo
Maria,F,36.0,Diretor (CTO),,Viúvo
Leonardo,M,27.0,Cientista de Dados,,Casado
Daniel,F,,Consultor,4886.62,Solteiro
Antonio,F,31.0,Gerente de Vendas,,Divorciado
Bruna,F,43.0,Gerente de TI,,Divorciado
Bruna,M,,Farmacêutico,18158.98,Casado
Francisco,F,59.0,Veterinário,,Viúvo
Thiago,F,50.0,Diretor (CTO),,Solteiro
Carlos,F,,Engenheiro de Petróleo,6342.85,Casado
Amanda,M,45.0,Piloto,,Viúvo
Leonardo,F,37.0,Consultor,,Divorciado
Pedro,M,,Consultor,12811.66,Solteiro
Francisco,F,,Veterinário,13149.93,Casado
Jessica,M,41.0,Diretor Executivo (CEO),,Solteiro
Camila,M,42.0,Gerente,,Solteiro
Anderson,F,,Dentista,6091.7,Solteiro
Ana,F,57.0,Gerente de Vendas,,Viúvo
Juliana,F,40.0,Engenheiro,,Viúvo
Fernanda,F,40.0,Gerente,,Solteiro
Leonardo,F,37.0,Engenheiro de Petróleo,,Viúvo
Leandro,M,23.0,Piloto,,Solteiro
Fernando,M,,Engenheiro,18313.56,Viúvo
Leandro,F,60.0,Farmacêutico,,Viúvo
Luciana,M,,Piloto,6068.78,Solteiro
Rodrigo,F,64.0,Cientista de Dados,,Solteiro
Lucas,M,,Engenheiro de Petróleo,17502.85,Casado
Lucas,F,,Programador,15410.11,Viúvo
